Fips,Location,Drug Type,TimeFrame,Data Type,Data,MOE
US,United States,All opioids,1999,"Rate per 100,000",2.86448,6.27E-02
US,United States,All opioids,2000,"Rate per 100,000",2.98344,6.39E-02
US,United States,All opioids,2001,"Rate per 100,000",3.31383,6.68E-02
US,United States,All opioids,2002,"Rate per 100,000",4.14408,7.45E-02
US,United States,All opioids,2003,"Rate per 100,000",4.46756,7.72E-02
US,United States,All opioids,2004,"Rate per 100,000",4.71516,7.90E-02
US,United States,All opioids,2005,"Rate per 100,000",5.05092,8.14E-02
US,United States,All opioids,2006,"Rate per 100,000",5.86992,8.73E-02
US,United States,All opioids,2007,"Rate per 100,000",6.12681,8.88E-02
US,United States,All opioids,2008,"Rate per 100,000",6.41704,9.06E-02
US,United States,All opioids,2009,"Rate per 100,000",6.61942,9.17E-02
US,United States,All opioids,2010,"Rate per 100,000",6.81794,9.30E-02
US,United States,All opioids,2011,"Rate per 100,000",7.3153,9.62E-02
US,United States,All opioids,2012,"Rate per 100,000",7.39976,9.67E-02
US,United States,All opioids,2013,"Rate per 100,000",7.94584,9.99E-02
US,United States,All opioids,2014,"Rate per 100,000",9.04019,0.106415548
US,United States,All opioids,2015,"Rate per 100,000",10.38193,0.11382408
US,United States,All opioids,2016,"Rate per 100,000",13.27934,0.128964888
US,United States,All opioids,2017,"Rate per 100,000",14.87196,0.136133009
US,United States,All opioids,2018,"Rate per 100,000",14.56484,0.134606585
US,United States,All opioids,2019,"Rate per 100,000",15.46935,0.138522267
US,United States,All opioids,2020,"Rate per 100,000",21.35046,0.162848152
US,United States,All opioids,2021,"Rate per 100,000",24.67277,0.173778359
US,United States,All opioids,2022,"Rate per 100,000",25.01438,0.174711293
US,United States,All opioids,2023,"Rate per 100,000",24.02772,0.170472886
19,Iowa,All opioids,1999,"Rate per 100,000",N/A,N/A
19,Iowa,All opioids,2000,"Rate per 100,000",N/A,N/A
19,Iowa,All opioids,2001,"Rate per 100,000",0.92506,0.349963171
19,Iowa,All opioids,2002,"Rate per 100,000",1.27667,0.413340819
19,Iowa,All opioids,2003,"Rate per 100,000",1.37892,0.440357551
19,Iowa,All opioids,2004,"Rate per 100,000",2.14628,0.542013422
19,Iowa,All opioids,2005,"Rate per 100,000",2.38662,0.57563095
19,Iowa,All opioids,2006,"Rate per 100,000",3.26962,0.67181968
19,Iowa,All opioids,2007,"Rate per 100,000",3.62932,0.695503491
19,Iowa,All opioids,2008,"Rate per 100,000",4.4165,0.780461028
19,Iowa,All opioids,2009,"Rate per 100,000",4.93805,0.829277788
19,Iowa,All opioids,2010,"Rate per 100,000",5.1266,0.842938858
19,Iowa,All opioids,2011,"Rate per 100,000",5.89256,0.899454806
19,Iowa,All opioids,2012,"Rate per 100,000",5.87682,0.901543221
19,Iowa,All opioids,2013,"Rate per 100,000",6.09162,0.915437369
19,Iowa,All opioids,2014,"Rate per 100,000",5.29425,0.846097428
19,Iowa,All opioids,2015,"Rate per 100,000",5.78924,0.892110192
19,Iowa,All opioids,2016,"Rate per 100,000",6.23208,0.921844889
19,Iowa,All opioids,2017,"Rate per 100,000",6.92006,0.9662315
19,Iowa,All opioids,2018,"Rate per 100,000",4.83589,0.808913096
19,Iowa,All opioids,2019,"Rate per 100,000",5.36521,0.849404961
19,Iowa,All opioids,2020,"Rate per 100,000",7.63896,1.017428501
19,Iowa,All opioids,2021,"Rate per 100,000",8.60777,1.067524508
19,Iowa,All opioids,2022,"Rate per 100,000",7.92216,1.028320525
19,Iowa,All opioids,2023,"Rate per 100,000",8.41876,1.058142856
39,Ohio,All opioids,1999,"Rate per 100,000",1.46702,0.224839703
39,Ohio,All opioids,2000,"Rate per 100,000",2.21912,0.275202336
39,Ohio,All opioids,2001,"Rate per 100,000",2.96991,0.317877359
39,Ohio,All opioids,2002,"Rate per 100,000",3.73398,0.357505842
39,Ohio,All opioids,2003,"Rate per 100,000",3.20668,0.330028416
39,Ohio,All opioids,2004,"Rate per 100,000",4.50373,0.390688292
39,Ohio,All opioids,2005,"Rate per 100,000",4.9298,0.410661338
39,Ohio,All opioids,2006,"Rate per 100,000",5.62256,0.440968779
39,Ohio,All opioids,2007,"Rate per 100,000",6.17057,0.459916691
39,Ohio,All opioids,2008,"Rate per 100,000",7.20497,0.500787577
39,Ohio,All opioids,2009,"Rate per 100,000",5.90443,0.455456401
39,Ohio,All opioids,2010,"Rate per 100,000",9.97469,0.592587931
39,Ohio,All opioids,2011,"Rate per 100,000",11.23318,0.628549915
39,Ohio,All opioids,2012,"Rate per 100,000",12.25899,0.66455821
