Fips,Location,Drug Type,TimeFrame,Data Type,Data,MOE
US,United States,All opioids,1999,"Rate per 100,000",2.86448,6.2688685080000001E-2
US,United States,All opioids,2000,"Rate per 100,000",2.98344,6.3925360799999997E-2
US,United States,All opioids,2001,"Rate per 100,000",3.31383,6.6772113800000005E-2
US,United States,All opioids,2002,"Rate per 100,000",4.14408,7.4533500160000002E-2
US,United States,All opioids,2003,"Rate per 100,000",4.46756,7.7152626599999996E-2
US,United States,All opioids,2004,"Rate per 100,000",4.71516,7.9016990359999997E-2
US,United States,All opioids,2005,"Rate per 100,000",5.05092,8.1350509519999989E-2
US,United States,All opioids,2006,"Rate per 100,000",5.86992,8.7274411560000001E-2
US,United States,All opioids,2007,"Rate per 100,000",6.12681,8.8767135800000008E-2
US,United States,All opioids,2008,"Rate per 100,000",6.41704,9.05503634E-2
US,United States,All opioids,2009,"Rate per 100,000",6.61942,9.1679278320000002E-2
US,United States,All opioids,2010,"Rate per 100,000",6.81794,9.3034651640000007E-2
US,United States,All opioids,2011,"Rate per 100,000",7.3153,9.6182978079999995E-2
US,United States,All opioids,2012,"Rate per 100,000",7.39976,9.6689150039999991E-2
US,United States,All opioids,2013,"Rate per 100,000",7.94584,9.9922021080000006E-2
US,United States,All opioids,2014,"Rate per 100,000",9.04019,0.10641554811999999
US,United States,All opioids,2015,"Rate per 100,000",10.38193,0.1138240796
US,United States,All opioids,2016,"Rate per 100,000",13.27934,0.12896488751999999
US,United States,All opioids,2017,"Rate per 100,000",14.87196,0.13613300932
US,United States,All opioids,2018,"Rate per 100,000",14.56484,0.13460658483999999
US,United States,All opioids,2019,"Rate per 100,000",15.46935,0.13852226696
US,United States,All opioids,2020,"Rate per 100,000",21.35046,0.16284815231999999
US,United States,All opioids,2021,"Rate per 100,000",24.67277,0.17377835888000001
US,United States,All opioids,2022,"Rate per 100,000",25.01438,0.1747112934
US,United States,All opioids,2023,"Rate per 100,000",24.02772,0.17047288552000001
19,Iowa,All opioids,1999,"Rate per 100,000",N/A,N/A
19,Iowa,All opioids,2000,"Rate per 100,000",N/A,N/A
19,Iowa,All opioids,2001,"Rate per 100,000",0.92506,0.34996317048000003
19,Iowa,All opioids,2002,"Rate per 100,000",1.27667,0.41334081908000003
19,Iowa,All opioids,2003,"Rate per 100,000",1.37892,0.44035755120000003
19,Iowa,All opioids,2004,"Rate per 100,000",2.14628,0.54201342159999999
19,Iowa,All opioids,2005,"Rate per 100,000",2.38662,0.57563094960000005
19,Iowa,All opioids,2006,"Rate per 100,000",3.26962,0.67181968027999994
19,Iowa,All opioids,2007,"Rate per 100,000",3.62932,0.69550349119999999
19,Iowa,All opioids,2008,"Rate per 100,000",4.4165,0.78046102791999994
19,Iowa,All opioids,2009,"Rate per 100,000",4.93805,0.82927778752000003
19,Iowa,All opioids,2010,"Rate per 100,000",5.1266,0.84293885816000003
19,Iowa,All opioids,2011,"Rate per 100,000",5.89256,0.89945480548000001
19,Iowa,All opioids,2012,"Rate per 100,000",5.87682,0.90154322075999993
19,Iowa,All opioids,2013,"Rate per 100,000",6.09162,0.91543736871999992
19,Iowa,All opioids,2014,"Rate per 100,000",5.29425,0.84609742756000006
19,Iowa,All opioids,2015,"Rate per 100,000",5.78924,0.89211019156000004
19,Iowa,All opioids,2016,"Rate per 100,000",6.23208,0.92184488900000006
19,Iowa,All opioids,2017,"Rate per 100,000",6.92006,0.9662314998
19,Iowa,All opioids,2018,"Rate per 100,000",4.83589,0.8089130954799999
19,Iowa,All opioids,2019,"Rate per 100,000",5.36521,0.84940496087999995
19,Iowa,All opioids,2020,"Rate per 100,000",7.63896,1.0174285010399999
19,Iowa,All opioids,2021,"Rate per 100,000",8.60777,1.0675245075599999
19,Iowa,All opioids,2022,"Rate per 100,000",7.92216,1.0283205248399998
19,Iowa,All opioids,2023,"Rate per 100,000",8.41876,1.0581428558400001
39,Ohio,All opioids,1999,"Rate per 100,000",1.46702,0.22483970264
39,Ohio,All opioids,2000,"Rate per 100,000",2.21912,0.27520233580000003
39,Ohio,All opioids,2001,"Rate per 100,000",2.96991,0.31787735895999997
39,Ohio,All opioids,2002,"Rate per 100,000",3.73398,0.3575058424
39,Ohio,All opioids,2003,"Rate per 100,000",3.20668,0.33002841620000001
39,Ohio,All opioids,2004,"Rate per 100,000",4.50373,0.39068829155999996
39,Ohio,All opioids,2005,"Rate per 100,000",4.9298,0.41066133835999996
39,Ohio,All opioids,2006,"Rate per 100,000",5.62256,0.44096877915999999
39,Ohio,All opioids,2007,"Rate per 100,000",6.17057,0.45991669108
39,Ohio,All opioids,2008,"Rate per 100,000",7.20497,0.50078757736000001
39,Ohio,All opioids,2009,"Rate per 100,000",5.90443,0.45545640139999999
39,Ohio,All opioids,2010,"Rate per 100,000",9.97469,0.59258793076000005
39,Ohio,All opioids,2011,"Rate per 100,000",11.23318,0.62854991471999999
39,Ohio,All opioids,2012,"Rate per 100,000",12.25899,0.66455820956
39,Ohio,All opioids,2013,"Rate per 100,000",14.60253,0.72279785143999997
39,Ohio,All opioids,2014,"Rate per 100,000",19.06504,0.83162288831999998
39,Ohio,All opioids,2015,"Rate per 100,000",24.6584,0.95030575303999998
39,Ohio,All opioids,2016,"Rate per 100,000",32.94451,1.0986208816799998
39,Ohio,All opioids,2017,"Rate per 100,000",39.22012,1.2005700562800001
39,Ohio,All opioids,2018,"Rate per 100,000",29.61342,1.0447172497999999
39,Ohio,All opioids,2019,"Rate per 100,000",31.46414,1.0757924559199998
39,Ohio,All opioids,2020,"Rate per 100,000",40.13497,1.2153907021200001
39,Ohio,All opioids,2021,"Rate per 100,000",40.11089,1.20551828012
39,Ohio,All opioids,2022,"Rate per 100,000",37.9681,1.17105552956
39,Ohio,All opioids,2023,"Rate per 100,000",33.99572,1.1058491049200001
50,Vermont,All opioids,1999,"Rate per 100,000",N/A,N/A
50,Vermont,All opioids,2000,"Rate per 100,000",3.55064,1.4892963234799999
50,Vermont,All opioids,2001,"Rate per 100,000",5.02453,1.77828864892
50,Vermont,All opioids,2002,"Rate per 100,000",5.79163,1.9016413841599999
50,Vermont,All opioids,2003,"Rate per 100,000",7.22186,2.1305228537600001
50,Vermont,All opioids,2004,"Rate per 100,000",6.08417,1.9867915967199998
50,Vermont,All opioids,2005,"Rate per 100,000",6.11665,2.0031971162
50,Vermont,All opioids,2006,"Rate per 100,000",9.38295,2.4745980313600002
50,Vermont,All opioids,2007,"Rate per 100,000",8.75785,2.4205432795599999
50,Vermont,All opioids,2008,"Rate per 100,000",8.585,2.2895303664799997
50,Vermont,All opioids,2009,"Rate per 100,000",6.04248,1.9467140302399999
50,Vermont,All opioids,2010,"Rate per 100,000",6.83377,2.11448905612
50,Vermont,All opioids,2011,"Rate per 100,000",9.06641,2.4760936622800003
50,Vermont,All opioids,2012,"Rate per 100,000",8.64632,2.3726650130399998
50,Vermont,All opioids,2013,"Rate per 100,000",11.58693,2.8168917688799997
