State,Race,Population
Delaware,HISPANIC,536077
District of Columbia:,HISPANIC,611775
Hawaii,HISPANIC,236105
Iowa,HISPANIC,232028
Kentucky,HISPANIC,222924
Maryland,HISPANIC,781509
Nebraska,HISPANIC,250386
South Dakota,HISPANIC,43750
Texas,HISPANIC,11850587
West Virginia,HISPANIC,38560
West Virginia,White,"826,796"
West Virginia,Black or African American,"45,272"
West Virginia,American Indian and Alaska Native,"7,029"
West Virginia,Asian,"10,181"
West Virginia,Native Hawaiian and Other Pacific Islander,680
West Virginia,Native Hawaiian and Other Pacific Islander,679
West Virginia,White,"837,221"
West Virginia,Black or African American,"39,077"
West Virginia,American Indian and Alaska Native,"6,950"
West Virginia,Asian,"10,793"
Delaware,White,"348,870"
Delaware,Black or African American,"121,389"
Delaware,American Indian and Alaska Native,"7,159"
Delaware,Asian,"24,783"
Delaware,Native Hawaiian and Other Pacific Islander,"1,102"
Delaware,White,"364,306"
Delaware,Black or African American,"135,592"
Delaware,American Indian and Alaska Native,"7,544"
Delaware,Asian,"25,425"
Delaware,Native Hawaiian and Other Pacific Islander,"1,154"
District of Columbia:,White,"161,598"
District of Columbia:,Black or African American,"145,231"
District of Columbia:,American Indian and Alaska Native,"4,862"
District of Columbia:,Asian,"16,853"
District of Columbia:,Native Hawaiian and Other Pacific Islander,"1,027"
District of Columbia:,White,"161,620"
District of Columbia:,Black or African American,"173,697"
District of Columbia:,American Indian and Alaska Native,"5,039"
District of Columbia:,Asian,"21,916"
District of Columbia:,Native Hawaiian and Other Pacific Islander,"1,021"
Texas,White,"6,217,866"
Texas,Black or African American,"1,901,651"
Texas,American Indian and Alaska Native,"109,291"
Texas,Asian,"866,054"
Texas,Native Hawaiian and Other Pacific Islander,"25,689"
Texas,White,"6,248,033"
Texas,Black or African American,"2,012,559"
Texas,American Indian and Alaska Native,"111,555"
Texas,Asian,"896,433"
Texas,Native Hawaiian and Other Pacific Islander,"27,247"
Kentucky,White,"1,888,941"
Kentucky,Black or African American,"213,940"
Kentucky,American Indian and Alaska Native,"15,743"
Kentucky,Asian,"45,452"
Kentucky,Native Hawaiian and Other Pacific Islander,"3,329"
Kentucky,White,"1,938,908"
Kentucky,Black or African American,"215,889"
Kentucky,American Indian and Alaska Native,"16,273"
Kentucky,Asian,"47,660"
Kentucky,Native Hawaiian and Other Pacific Islander,"3,202"
Maryland,White,"1,539,161"
Maryland,Black or African American,"913,683"
Maryland,American Indian and Alaska Native,"22,659"
Maryland,Asian,"228,273"
Maryland,Native Hawaiian and Other Pacific Islander,"4,692"
Maryland,Native Hawaiian and Other Pacific Islander,"5,116"
Maryland,White,"1,583,138"
Maryland,Black or African American,"1,040,207"
Maryland,American Indian and Alaska Native,"25,686"
Maryland,Asian,"247,755"
Iowa,White,"1,364,363"
Iowa,Black or African American,"87,334"
Iowa,American Indian and Alaska Native,"11,605"
Iowa,Asian,"51,181"
Iowa,Native Hawaiian and Other Pacific Islander,"4,049"
Iowa,Native Hawaiian and Other Pacific Islander,"3,325"
Iowa,White,"1,376,727"
Iowa,Black or African American,"77,259"
Iowa,American Indian and Alaska Native,"11,688"
Iowa,Asian,"50,203"
Hawaii,White,"280,170"
Hawaii,Black or African American,"26,677"
Hawaii,American Indian and Alaska Native,"12,578"
Hawaii,Asian,"368,648"
Hawaii,Native Hawaiian and Other Pacific Islander,"173,536"
Hawaii,Native Hawaiian and Other Pacific Islander,"168,535"
Hawaii,White,"251,774"
Hawaii,Black or African American,"18,286"
Hawaii,American Indian and Alaska Native,"11,966"
Hawaii,Asian,"398,836"
South Dakota,White,"378,420"
South Dakota,Black or African American,"15,933"
South Dakota,American Indian and Alaska Native,"40,471"
South Dakota,Asian,"9,218"
South Dakota,Native Hawaiian and Other Pacific Islander,686
South Dakota,Native Hawaiian and Other Pacific Islander,571
South Dakota,White,"368,562"
South Dakota,Black or African American,"12,255"
South Dakota,American Indian and Alaska Native,"41,169"
South Dakota,Asian,"9,970"
Nebraska,White,"775,138"
Nebraska,Black or African American,"61,497"
Nebraska,American Indian and Alaska Native,"13,013"
Nebraska,Asian,"31,974"
Nebraska,Native Hawaiian and Other Pacific Islander,"1,523"
Nebraska,Native Hawaiian and Other Pacific Islander,"1,473"
Nebraska,White,"776,659"
Nebraska,Black or African American,"58,004"
Nebraska,American Indian and Alaska Native,"13,757"
Nebraska,Asian,"32,806"
